id,name,enrollment
18731,2024 Fall - GIST 3020-1/ HIST 3020-1 - Interdisciplinary Research Methods,13
18732,2024 Fall - FSEM 1010-1 - FYSem: Who Gets to Be a Scientist?,19
18733,2024 Fall - MUS 3160S-1 - Orchestral Technique: Soloist,1
18734,"2024 Fall - FSEM 1010-2 - FYSem: Performance and Protest: Activism, Art, and Theatre",17
18735,2024 Fall - PBHL 1100-1 - Introduction to Public Health,37
18736,2024 Fall - MUS 3160X-1 - Orchestral Technique: Violin Sections,3
18737,2024 Fall - EXSC 3400-1 - Biomechanics and Kinesiology,10
18738,2024 Fall - PBHL 3100-1 - Epidemiology,12
18739,2024 Fall - PBHL 5950-1 - Senior Seminar,8
18740,2024 Fall - EXSC 3400-L1 - LAB: Biomechanics and Kinesiology,10
18741,2024 Fall - MUS 3160Y-1 - Orchestral Technique: Viola Sections,4
18743,2024 Fall - MUS 3160Z-1 - Orchestral Technique: Cello and Bass Sections,1
18744,2024 Fall - PHIL 1130-1 - Logic,35
18746,2024 Fall - PHIL 1140-1 - Ethics,35
18748,2024 Fall - PHIL 1140-2 - Ethics,35
18749,2024 Fall - MUS 3500-1 - Individual Music Lessons: Voice,14
18750,2024 Fall - PHIL 3140-1 - Bioethics,25
18751,2024 Fall - PHIL 1650-1 - World Traditions in Philosophy,35
18752,2024 Fall - MUS 3510-1 - Individual Music Lessons: Piano,9
18753,2024 Fall - PHIL 1720-1 - Values and Objectivity in Scientific Research,24
18754,2024 Fall - MUS 3515-1 - Individual Music Lessons: Jazz Piano,1
18755,2024 Fall - PHYS 1135-1 - Imaging the Invisible World,23
18756,2024 Fall - MUS 3540-1 - Individual Music Lessons: Guitar,5
18757,2024 Fall - PHYS 1150-1 - Algebra-Based Physics I,23
18758,2024 Fall - MUS 3550-1 - Individual Music Lessons: Flute,4
18759,2024 Fall - PHYS 1150-L1 - LAB: Algebra-Based Physics I,6
18760,2024 Fall - PHYS 1150-L2 - LAB: Algebra-Based Physics I,3
18761,2024 Fall - MUS 3560-1 - Individual Music Lessons: Oboe,0
18762,2024 Fall - PHYS 1150-L3 - LAB: Algebra-Based Physics I,6
18763,2024 Fall - MUS 3570-1 - Individual Music Lessons: Clarinet,1
18764,2024 Fall - PHYS 1150-L4 - LAB: Algebra-Based Physics I,8
18765,2024 Fall - MUS 5930-1 - Senior Project,2
18766,2024 Fall - MUS 3580-1 - Individual Music Lessons: Saxophone,1
18767,2024 Fall - EXSC 3980-1 - Special Topics: Fundamentals of Strengthening and Conditioning,18
18768,2024 Fall - MUS 3590-1 - Individual Music Lessons: Bassoon,0
18770,2024 Fall - MUS 3600-1 - Individual Music Lessons: Violin,2
18771,2024 Fall - LGST 1110-1 - Legal Systems in American Society,27
18772,2024 Fall - MUS 3610-1 - Individual Music Lessons: Viola,2
18773,2024 Fall - LGST 5900-1 - Legal Studies Practicum (Internship),11
18774,2024 Fall - MUS 3620-1 - Individual Music Lessons: Cello,1
18775,2024 Fall - LGST 1110-2 - Legal Systems in American Society,29
18776,2024 Fall - MUS 3630-1 - Individual Music Lessons: Jazz Guitar/Electric Bass,2
